,price,price,price,area,area,bedrooms,bedrooms,bathrooms,bathrooms,price_per_sqm,price_per_sqm
,count,mean,median,mean,median,mean,median,mean,median,mean,median
district,,,,,,,,,,,
Huyện Hoà Vang,100,3359554990.0,1700000000.0,218.42,144.0,0.45,0.0,0.37,0.0,18490835.0,9000000.0
Phường Hòa Khánh Bắc,3,1350916666.67,41250000.0,600.0,750.0,0.0,0.0,0.0,0.0,1700333.0,55000.0
Phường Hòa Thọ Tây,1,82500000.0,82500000.0,,,0.0,0.0,0.0,0.0,,
Phường Hòa Thọ Đông,2,46500000.0,46500000.0,300.0,300.0,0.0,0.0,0.0,0.0,50000.0,50000.0
Quận Cẩm Lệ,1204,3879122268.27,3300000000.0,133.5,100.0,1.94,2.0,1.8,2.0,35493471.0,35500000.0
Quận Hải Châu,3917,4756247895.84,3150000000.0,108.28,80.0,2.0,2.0,1.91,2.0,55302607.0,52586207.0
Quận Liên Chiểu,1180,3580828897.46,2935000000.0,127.57,95.0,1.49,1.0,1.37,1.0,34306423.0,31200000.0
Quận Ngũ Hành Sơn,3857,3965476859.22,1200000000.0,131.88,96.0,1.89,2.0,1.87,2.0,28241145.0,11111111.0
Quận Sơn Trà,3276,3509129670.33,35000000.0,104.64,80.0,1.84,2.0,1.8,2.0,33956339.0,264027.0
Quận Thanh Khê,1666,4610581042.02,3200000000.0,90.6,68.0,2.19,3.0,1.97,2.0,60438746.0,56000000.0
